	EA		FAM		IMM		CONC		FQ		LE											SONORITÀ	MODO					LUOGO						VOCALE	
PAROLE	media	ds	media	ds	media	ds	media	ds	ILC	CoLFIS	LEtot	LEcomp	LEprod	LIP	VIC	FQ.BIGR	SILL	LUN	Accento	FON:SON	FON:MOD	sonora	occlusiva	nasale	fricativa	affricata	liquida	bilabiale	labio-dentale	dentale	alveolare	palatale	velare	vocale	RT
ABETE	3,41	1,04	5,41	1,57	6,05	1,16	4,59	2,61	3	29	31	22	9	5	2	10,74	3	5	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	508
ABISSO	5,20	1,29	4,98	1,53	3,84	2,24	4,77	2,12	29	24	17	13	4	1	0	10,65	3	6	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	489
ACCIAIO	4,45	0,95	6,20	1,15	4,80	1,84	5,02	1,86	22	80	21	17	4	3	0	10,85	3	7	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	501
ACETO	3,32	1,09	6,36	1,06	5,61	1,62	6,57	0,82	14	25	7	3	4	0	0	11,04	3	5	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	487
ACQUA	1,27	0,50	6,98	0,15	6,39	1,10	6,20	1,30	756	960	1122	593	529	80	0	10,39	2	5	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	477
AGGUATO	5,57	1,30	5,30	1,37	3,43	1,85	3,50	1,96	33	62	11	10	1	2	0	10,62	3	7	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	518
AGIO	5,82	1,19	4,93	2,02	2,57	1,84	3,91	2,29	5	55	10	4	6	0	0	11,09	2	4	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	510
AGONIA	5,80	1,13	4,98	1,80	3,16	1,84	4,16	2,38	21	29	0	0	0	0	0	10,89	4	6	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	490
ALBERGO	3,70	0,90	6,75	0,49	5,66	1,27	6,55	1,11	141	202	66	25	43	21	0	10,14	3	7	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	494
ALBICOCCA	2,59	0,84	6,43	1,11	6,43	1,02	6,84	0,48	2	7	0	0	0	1	1	10,47	4	9	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	614
ALLUCE	4,02	1,39	4,95	1,74	5,57	1,78	4,93	2,37	3	6	0	0	0	1	0	10,71	3	6	s	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	491
ALLUVIONE	5,05	1,38	5,66	1,45	4,84	1,70	5,43	1,78	3	19	0	0	0	0	0	10,58	4	9	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	531
ALTARE	3,68	0,86	6,02	1,32	5,48	1,69	6,14	1,34	45	46	13	11	2	4	0	11,36	3	6	p	sonora	vocale	1	0	0	0	0	0	0	0	0	0	0	0	1	518
