subject	session	condition	trial	prime	target	target_category	response_time	accuracy
s04_2018_rd	3	Cz	1	sociale	stazza	quantity	934.0	1	
s04_2018_rd	3	Cz	2	quantità	frazione	quantity	1019.4000000000001	1	
s04_2018_rd	3	Cz	3	sociale	immensità	quantity	1077.4	1	
s04_2018_rd	3	Cz	4	sociale	ingrandimento	quantity	708.8000000000002	1	
s04_2018_rd	3	Cz	5	sociale	infamia	social	850.9000000000001	1	
s04_2018_rd	3	Cz	6	sociale	catasta	quantity	691.8000000000002	1	
s04_2018_rd	3	Cz	7	quantità	carenza	quantity	907.2000000000003	1	
s04_2018_rd	3	Cz	8	sociale	cumulo	quantity	1153.8000000000002	1	
s04_2018_rd	3	Cz	9	sociale	diminuzione	quantity	862.8000000000002	1	
s04_2018_rd	3	Cz	10	quantità	penuria	quantity	598.8000000000002	1	
s04_2018_rd	3	Cz	11	quantità	alleanza	social	625.5999999999999	1	
s04_2018_rd	3	Cz	12	quantità	cospirazione	social	747.5999999999999	1	
s04_2018_rd	3	Cz	13	quantità	grandezza	quantity	872.3000000000002	1	
s04_2018_rd	3	Cz	14	quantità	servitù	social	1024.5	1	
s04_2018_rd	3	Cz	15	sociale	enormità	quantity	738.5	1	
s04_2018_rd	3	Cz	16	quantità	lusinga	social	583.9000000000001	-1	
s04_2018_rd	3	Cz	17	quantità	addizione	quantity	571.5	1	
s04_2018_rd	3	Cz	18	sociale	patto	social	1167.5	1	
s04_2018_rd	3	Cz	19	sociale	dilatazione	quantity	627.5	1	
s04_2018_rd	3	Cz	20	sociale	grossezza	quantity	637.0999999999999	1	
s04_2018_rd	3	Cz	21	quantità	tradizione	social	774.5	1	
s04_2018_rd	3	Cz	22	quantità	catasta	quantity	930.5999999999999	1	
s04_2018_rd	3	Cz	23	sociale	rivalità	social	632.0	1	
s04_2018_rd	3	Cz	24	sociale	carico	quantity	681.4000000000001	1	
s04_2018_rd	3	Cz	25	sociale	competizione	social	712.9000000000001	1	
s04_2018_rd	3	Cz	26	sociale	frazione	quantity	598.9000000000001	1	
s04_2018_rd	3	Cz	27	sociale	lusinga	social	569.7000000000003	1	
s04_2018_rd	3	Cz	28	quantità	socievolezza	social	637.7000000000003	1	
s04_2018_rd	3	Cz	29	quantità	diffamazione	social	703.2000000000003	1	
s04_2018_rd	3	Cz	30	quantità	incremento	quantity	605.9000000000001	1	
s04_2018_rd	3	Cz	31	quantità	dispetto	social	1040.6	1	
s04_2018_rd	3	Cz	32	sociale	addizione	quantity	562.2000000000003	1	
s04_2018_rd	3	Cz	33	quantità	grossezza	quantity	630.0999999999999	1	
s04_2018_rd	3	Cz	34	sociale	sudditanza	social	687.5	1	
s04_2018_rd	3	Cz	35	quantità	cumulo	quantity	631.0999999999999	1	
s04_2018_rd	3	Cz	36	sociale	grandezza	quantity	1088.5	1	
s04_2018_rd	3	Cz	37	quantità	allargamento	quantity	679.9000000000001	1	
s04_2018_rd	3	Cz	38	sociale	incremento	quantity	879.4000000000001	1	
s04_2018_rd	3	Cz	39	quantità	enormità	quantity	590.8000000000002	1	
s04_2018_rd	3	Cz	40	sociale	relazione	social	674.2000000000003	1	
s04_2018_rd	3	Cz	41	sociale	notorietà	social	1490.3000000000002	1	
s04_2018_rd	3	Cz	42	quantità	sudditanza	social	1465.7000000000003	1	
s04_2018_rd	3	Cz	43	sociale	riduzione	quantity	889.8000000000002	1	
s04_2018_rd	3	Cz	44	quantità	competizione	social	969.0999999999999	1	
s04_2018_rd	3	Cz	45	quantità	nomea	social	845.4000000000001	1	
s04_2018_rd	3	Cz	46	quantità	notorietà	social	1806.0000000000005	1	
s04_2018_rd	3	Cz	47	quantità	offesa	social	688.9000000000001	1	
s04_2018_rd	3	Cz	48	sociale	carenza	quantity	784.2000000000003	1	
s04_2018_rd	3	Cz	49	quantità	accumulo	quantity	891.5999999999999	1	
s04_2018_rd	3	Cz	50	sociale	plebe	social	1579.2000000000003	1	
s04_2018_rd	3	Cz	51	sociale	quintale	quantity	734.5999999999999	1	
s04_2018_rd	3	Cz	52	sociale	accrescimento	quantity	764.0999999999999	1	
s04_2018_rd	3	Cz	53	sociale	tradizione	social	1488.0	1	
s04_2018_rd	3	Cz	54	sociale	porzione	quantity	695.5999999999999	1	
s04_2018_rd	3	Cz	55	quantità	estensione	quantity	966.4000000000001	1	
