dire disse dice
mangiare mangiato mangia
sapere sa saputo
toccare toccato tocca
vedere vede visto
riempire riempito riempie
aprire apre aperto
avvicinato avvicinarsi avvicina
grattare gratta grattato
puzzare puzzato puzza
correre corse corre
entrare entrato entra
guidare guidato guida
rompere rotto rompe
pulire pulito pulisce
cavalcare cavalcato cavalca
vestire veste vestito
temuto teme temere
ascoltare ascoltato ascolta
sentire sente sentito
manipolare manipulato manipola
spingere spinge spinto
muovere mosso muove
approccia approcciare approcciato
sollevare sollevato solleva
