en	de	it
airplane	Flugzeug	aereo
ant	 Ameise	 formica
apartment	 Wohnung	 appartamento
arch	 Bogen	 arco
arm	 Arm	 braccio
barn	 Scheune	 fienile
bear	 Bär	 orso
bed	 Bett	 letto
bee	 Biene	 ape
beetle	 Käfer	 scarafaggio
bell	 Glocke	 campana
bicycle	 Fahrrad	 bicicletta
bottle	 Flasche	 bottiglia
butterfly	 Schmetterling	 farfalla
car	 Auto	 auto
carrot	 Karotte	 carota
cat	 Katze	 gatto
celery	 Sellerie	 sedano
chair	 Stuhl	 sedia
chimney	 Schornstein	 camino
chisel	 Meißel	 scalpello
church	 Kirche	 chiesa
closet	 Kleiderschrank	 armadio
coat	 Mantel	 cappotto
corn	 Mais	 mais
cow	 Kuh	 mucca
cup	 Tasse	 tazza
desk	 Schreibtisch	 scrivania
dog	 Hund	 cane
door	 Tür	 porta
dress	 Kleid	 vestito
dresser	 Kommode	 cassettiera
eye	 Auge	 occhio
fly	 Fliege	 mosca
foot	 Fuß	 piede
glass	 Glas	 bicchiere
hammer	 Hammer	 martello
hand	 Hand	 mano
horse	 Pferd	 cavallo
house	 Haus	 casa
igloo	 Iglu	 igloo
key	 Schlüssel	 chiave
knife	 Messer	 coltello
leg	 Bein	 gamba
lettuce	 Kopfsalat	insalata
pants	 Hose	 pantaloni
pliers	 Zange	 pinze
refrigerator	 Kühlschrank	 frigorifero
saw	Säge	 sega
screwdriver	 Schraubenzieher	 cacciavite
shirt	 Hemd	 camicia
skirt	 Rock	 gonna
spoon	 Löffel	 cucchiaio
table	 Tisch	 tavolo
telephone	 Telefon	 telefono
tomato	 Tomate	 pomodoro
train	 Zug	 treno
truck	Lastwagen	 camion
watch	Armbanduhr	 orologio
window	 Fenster	 finestra
